dependencia;estrato_analitico;uso_internet_escolar;actividades_digitales_aula;habilidades_digitales_basicas;habilidades_digitales_avanzadas;motivacion_creacion_tic;protagonismo_estudiantil;aprendizaje_con_tecnologia
1,0;4,0;2,5;3,5;4,111111111111111;3,0;2,5;3,4;3,75
1,0;4,0;4,0;3,0;3,7777777777777777;1,0;3,0;2,8;2,75
1,0;4,0;4,0;2,5;5,0;4,0;4,0;2,8;2,75
1,0;4,0;4,0;2,0;4,555555555555555;1,0;3,5;2,2;2,25
1,0;4,0;3,5;3,5;3,5555555555555554;4,0;3,6666666666666665;3,4;4,0
1,0;4,0;2,5;2,75;3,4444444444444446;1,5;3,0;2,6;2,5
1,0;4,0;5,0;3,5;4,555555555555555;1,0;4,0;3,8;4,0
1,0;4,0;3,5;3,75;3,5555555555555554;1,0;2,3333333333333335;3,8;3,25
1,0;4,0;5,0;2,5;4,0;1,0;2,6666666666666665;2,8;2,75
1,0;4,0;4,0;3,5;3,5555555555555554;2,0;3,0;3,8;3,75
2,0;2,0;2,0;3,0;4,666666666666667;5,0;1,8333333333333333;3,8;3,75
2,0;2,0;2,0;2,5;2,888888888888889;1,5;3,5;2,4;2,25
2,0;2,0;2,0;2,75;4,444444444444445;1,0;3,1666666666666665;4,0;3,75
2,0;2,0;5,0;3,5;4,0;3,5;3,6666666666666665;3,6;3,75
2,0;2,0;3,0;2,5;4,777777777777778;4,5;3,0;3,0;3,0
2,0;2,0;1,5;1,0;5,0;5,0;2,5;2,2;2,0
2,0;2,0;1,5;3,0;4,777777777777778;4,0;4,0;4,0;3,75
2,0;2,0;2,0;3,25;3,7777777777777777;3,0;3,6666666666666665;3,0;3,25
2,0;2,0;1,0;3,0;3,3333333333333335;3,0;2,8333333333333335;4,0;4,0
2,0;2,0;1,5;2,0;4,111111111111111;3,0;3,5;2,6;2,25
2,0;2,0;2,5;2,75;4,333333333333333;2,5;3,5;3,4;3,5
2,0;2,0;2,0;1,75;3,2222222222222223;1,0;3,1666666666666665;3,8;4,0
2,0;2,0;1,5;2,5;2,4444444444444446;1,0;1,0;4,0;4,0
2,0;2,0;3,5;3,5;4,444444444444445;3,5;3,8333333333333335;4,0;3,25
2,0;2,0;4,5;3,0;4,555555555555555;3,0;2,5;3,2;3,0
2,0;2,0;3,5;2,0;2,6666666666666665;1,0;2,3333333333333335;3,2;3,25
2,0;2,0;1,5;3,75;3,7777777777777777;1,0;2,1666666666666665;3,6;3,5
2,0;2,0;2,0;2,25;3,5555555555555554;4,0;3,6666666666666665;2,8;2,75
2,0;2,0;2,0;2,25;3,3333333333333335;2,0;3,3333333333333335;3,0;2,0
2,0;2,0;2,5;2,75;3,111111111111111;1,5;2,6666666666666665;3,4;3,5
2,0;3,0;3,0;3,25;4,888888888888889;3,0;3,1666666666666665;2,6;3,0
2,0;3,0;3,5;3,25;4,444444444444445;3,0;3,1666666666666665;2,8;3,0
2,0;3,0;2,0;2,5;4,111111111111111;1,0;3,0;2,2;2,5
2,0;3,0;4,0;2,5;4,111111111111111;3,0;3,0;3,4;3,0
2,0;3,0;3,0;2,75;4,333333333333333;1,0;3,1666666666666665;2,0;2,25
2,0;3,0;5,0;4,0;5,0;5,0;2,1666666666666665;3,6;3,5
2,0;3,0;3,0;3,25;5,0;3,0;3,0;3,0;2,5
2,0;3,0;4,5;3,0;4,333333333333333;1,0;2,3333333333333335;3,0;2,5
2,0;3,0;4,5;3,5;4,555555555555555;3,5;3,3333333333333335;2,6;2,75
2,0;3,0;4,0;2,75;3,7777777777777777;1,0;3,1666666666666665;2,6;3,25
2,0;2,0;4,0;2,75;4,111111111111111;3,5;3,0;3,8;4,0
2,0;2,0;2,5;2,5;3,2222222222222223;3,5;3,5;2,2;2,75
2,0;2,0;5,0;4,5;5,0;4,0;3,6666666666666665;3,8;3,75
2,0;2,0;3,5;3,0;4,0;3,0;3,6666666666666665;3,0;3,0
2,0;2,0;4,5;3,0;4,444444444444445;2,5;3,3333333333333335;3,0;3,5
2,0;2,0;3,5;2,25;4,444444444444445;2,5;3,1666666666666665;3,0;3,5
2,0;2,0;4,5;3,0;4,333333333333333;3,0;3,0;2,6;3,25
2,0;2,0;4,0;3,5;4,555555555555555;4,0;3,0;3,4;3,25
2,0;2,0;4,0;4,5;4,888888888888889;4,0;1,6666666666666667;3,6;3,75
2,0;2,0;4,0;3,0;3,4444444444444446;1,5;1,3333333333333333;1,8;3,0
3,0;3,0;3,0;3,0;4,555555555555555;2,5;2,0;2,2;2,0
3,0;3,0;4,0;3,25;5,0;3,0;3,3333333333333335;3,2;4,0
3,0;3,0;5,0;3,0;3,5555555555555554;2,5;3,6666666666666665;2,6;2,25
3,0;3,0;5,0;3,25;4,444444444444445;3,5;3,5;3,6;3,0
3,0;3,0;3,5;3,0;4,777777777777778;2,5;3,3333333333333335;2,2;2,0
3,0;3,0;4,0;3,0;4,777777777777778;1,0;3,0;1,8;2,0
3,0;3,0;4,0;2,75;4,888888888888889;2,5;3,3333333333333335;1,6;1,75
3,0;3,0;4,5;3,0;4,666666666666667;2,5;2,5;2,8;2,75
3,0;3,0;4,5;4,0;4,333333333333333;3,0;2,3333333333333335;3,0;2,25
3,0;3,0;3,0;2,75;4,0;3,5;2,6666666666666665;2,4;2,75
2,0;2,0;3,5;4,0;3,7777777777777777;1,0;3,3333333333333335;3,4;3,0
2,0;2,0;1,0;2,5;4,444444444444445;2,5;4,0;3,6;3,0
2,0;2,0;3,0;2,75;4,777777777777778;1,0;3,5;3,4;3,0
2,0;2,0;1,5;1,0;3,4444444444444446;3,5;2,6666666666666665;2,0;2,5
2,0;2,0;5,0;2,0;4,555555555555555;4,5;4,0;2,0;1,75
2,0;2,0;2,5;3,5;3,888888888888889;4,0;2,1666666666666665;3,2;3,0
2,0;2,0;3,0;2,5;5,0;5,0;3,6666666666666665;3,4;3,0
2,0;2,0;3,0;1,75;4,0;3,5;3,5;3,8;3,25
2,0;2,0;2,0;1,5;4,0;3,5;4,0;2,0;2,5
